section_id,term_id,school_id,program_id,course_code,section_number,modality,capacity
SEC00394,2026SU,SCH06,PRG0602,0602-200,02,In Person,24
SEC00395,2026SU,SCH06,PRG0603,0603-150,01,Hybrid,42
SEC00396,2026SU,SCH06,PRG0603,0603-200,02,Hybrid,30
SEC00397,2026SU,SCH07,PRG0701,0701-150,01,In Person,24
SEC00398,2026SU,SCH07,PRG0701,0701-200,02,In Person,34
SEC00399,2026SU,SCH07,PRG0702,0702-150,01,Hybrid,37
SEC00400,2026SU,SCH07,PRG0702,0702-200,02,Online,29
SEC00401,2026SU,SCH07,PRG0703,0703-150,01,In Person,36
SEC00402,2026SU,SCH07,PRG0703,0703-200,02,In Person,42
SEC00403,2026SU,SCH08,PRG0801,0801-150,01,Hybrid,35
SEC00404,2026SU,SCH08,PRG0801,0801-200,02,Online,29
SEC00405,2026SU,SCH08,PRG0802,0802-150,01,Hybrid,25
SEC00406,2026SU,SCH08,PRG0802,0802-200,02,Online,30
SEC00407,2026SU,SCH08,PRG0803,0803-150,01,In Person,31
SEC00408,2026SU,SCH08,PRG0803,0803-200,02,Hybrid,24
SEC00409,2026SU,SCH09,PRG0901,0901-150,01,Hybrid,28
SEC00410,2026SU,SCH09,PRG0901,0901-200,02,Hybrid,32
SEC00411,2026SU,SCH09,PRG0902,0902-150,01,Online,31
SEC00412,2026SU,SCH09,PRG0902,0902-200,02,Hybrid,37
SEC00413,2026SU,SCH09,PRG0903,0903-150,01,In Person,30
SEC00414,2026SU,SCH09,PRG0903,0903-200,02,Online,38
SEC00415,2026SU,SCH10,PRG1001,1001-150,01,In Person,26
SEC00416,2026SU,SCH10,PRG1001,1001-200,02,Online,32
SEC00417,2026SU,SCH10,PRG1002,1002-150,01,Hybrid,25
SEC00418,2026SU,SCH10,PRG1002,1002-200,02,Online,25
SEC00419,2026SU,SCH10,PRG1003,1003-150,01,In Person,30
SEC00420,2026SU,SCH10,PRG1003,1003-200,02,In Person,29
SEC00421,2026SU,SCH11,PRG1101,1101-150,01,In Person,27
SEC00422,2026SU,SCH11,PRG1101,1101-200,02,In Person,33
SEC00423,2026SU,SCH11,PRG1102,1102-150,01,Online,38
SEC00424,2026SU,SCH11,PRG1102,1102-200,02,In Person,26
SEC00425,2026SU,SCH11,PRG1103,1103-150,01,Online,26
SEC00426,2026SU,SCH11,PRG1103,1103-200,02,Online,36
SEC00427,2026SU,SCH12,PRG1201,1201-150,01,Hybrid,24
SEC00428,2026SU,SCH12,PRG1201,1201-200,02,In Person,36
SEC00429,2026SU,SCH12,PRG1202,1202-150,01,In Person,28
SEC00430,2026SU,SCH12,PRG1202,1202-200,02,In Person,34
SEC00431,2026SU,SCH12,PRG1203,1203-150,01,Online,37
SEC00432,2026SU,SCH12,PRG1203,1203-200,02,Online,33
